City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,rundu,-17.9333,19.7667,23.11,20,26,4.4,NA,1727656089
198,jamsa,61.8642,25.19,3.4,84,19,3.25,FI,1727656091
199,vylkove,45.4021,29.586,15.63,73,72,5.6,UA,1727656093
200,eket,4.6412,7.9209,24.4,93,84,2.22,NG,1727656094
201,las matas de farfan,18.8731,-71.5166,23.95,86,100,1.22,DO,1727656096
202,tongchuanshi,35.0806,109.0897,12.45,60,100,3.14,CN,1727656097
203,minas de marcona,-15.2119,-75.1103,12.92,81,55,4.43,PE,1727656035
204,strezhevoy,60.7333,77.5889,10.22,92,97,6.06,RU,1727656100
205,newman,37.3138,-121.0208,34.66,16,0,3.44,US,1727655812
206,itamaraca,-7.7478,-34.8256,24.88,79,94,4.93,BR,1727656104
207,santa cruz,-17.8,-63.1667,27.7,65,11,2.06,BO,1727655937
208,isafjordur,66.0755,-23.124,2.02,75,40,5.66,IS,1727656107
209,singkawang,0.9,109.0,25.53,86,74,1.85,ID,1727656109
210,nicoya,10.1483,-85.452,23.37,96,100,1.2,CR,1727656110
211,chibougamau,49.9168,-74.3659,11.79,76,100,4.63,CA,1727656112
212,saint-francois,46.4154,3.9054,12.03,89,0,0.0,FR,1727656113
213,jamestown,42.097,-79.2353,20.01,89,100,0.89,US,1727656115
214,mao,39.8885,4.2658,19.31,72,0,1.54,ES,1727656116
215,kuusamo,65.9667,29.1833,1.02,80,0,3.09,FI,1727656118
216,kendari,-3.945,122.4989,28.51,68,99,0.82,ID,1727656119
217,mukalla,14.5425,49.1242,25.81,85,83,4.85,YE,1727656121
218,kone,-21.0595,164.8658,30.75,48,9,2.48,NC,1727656122
219,kiama,-34.6833,150.8667,17.36,80,61,2.68,AU,1727656124
220,tank,32.2217,70.3793,30.29,46,1,0.32,PK,1727656126
221,masterton,-40.9597,175.6575,16.38,54,33,1.27,NZ,1727656127
222,palmer,42.1584,-72.3287,14.73,86,75,1.54,US,1727656129
223,kapa'a,22.0752,-159.319,29.18,69,0,5.66,US,1727656132
224,bubaque,11.2833,-15.8333,27.34,80,69,4.86,GW,1727656134
225,tsengel,49.4783,100.8894,-4.18,60,54,2.19,MN,1727656135
226,smithers,54.7804,-127.1743,8.18,76,20,2.06,CA,1727656137
227,banda aceh,5.5577,95.3222,25.84,81,76,4.95,ID,1727656138
228,nuevitas,21.5453,-77.2644,27.17,90,98,4.54,CU,1727656140
229,inarajan village,13.2736,144.7484,31.54,85,48,6.17,GU,1727656142
230,kristiansund,63.1115,7.732,7.85,81,75,1.54,NO,1727656143
